x	1.05w0	1.1w0	1.5w0
-0.39844	3.8677	2.3203	2.7896
-0.39453	3.6089	1.918	1.2295
-0.39063	4.0753	6.7584	1.5497
-0.38672	5.1653	11.7068	3.6544
-0.38281	6.4081	16.1746	5.5814
-0.37891	7.4624	19.5842	6.8486
-0.375	8.225	21.4339	7.1035
-0.37109	8.8744	21.3628	6.1004
-0.36719	9.8775	19.2002	3.7382
-0.36328	11.762	14.9988	0.59926
-0.35938	14.7122	9.0617	4.8832
-0.35547	18.4776	2.4497	10.4586
-0.35156	22.5926	6.8378	16.3517
-0.34766	26.552	14.7581	22.0286
-0.34375	29.8866	22.0819	26.9604
-0.33984	32.2043	28.073	30.6757
-0.33594	33.221	32.2006	32.8139
-0.33203	32.7845	34.134	33.1659
-0.32813	30.8871	33.7675	31.698
-0.32422	27.6648	31.2258	28.5554
-0.32031	23.382	26.8439	24.0447
-0.31641	18.406	21.1249	18.5982
-0.3125	13.1777	14.6789	12.7244
-0.30859	8.2095	8.152	6.9511
-0.30469	4.2806	2.1542	1.7814
-0.30078	3.3366	2.8058	2.4778
-0.29688	4.9631	6.3717	5.4297
-0.29297	6.3111	8.3692	7.0306
-0.28906	6.7405	8.8133	7.3154
-0.28516	6.2679	7.8927	6.4656
-0.28125	5.1014	5.9335	4.7721
-0.27734	3.5714	3.3495	2.5935
-0.27344	2.2186	0.58473	0.36963
-0.26953	2.0174	1.9488	1.7998
-0.26562	2.8313	3.9093	3.3587
-0.26172	3.5763	5.0756	4.2457
-0.25781	3.8743	5.3578	4.3951
-0.25391	3.6694	4.7998	3.8557
-0.25	3.0437	3.5612	2.7716
-0.24609	2.1877	1.8861	1.3565
-0.24219	1.4705	0.081639	0.24237
-0.23828	1.4762	1.6316	1.5501
-0.23438	2.0214	2.9424	2.5771
-0.23047	2.5017	3.705	3.1343
-0.22656	2.687	3.843	3.1671
-0.22266	2.534	3.3785	2.705
-0.21875	2.0972	2.4226	1.851
-0.21484	1.5192	1.1533	0.7644
-0.21094	1.0932	0.22989	0.41349
-0.20703	1.1927	1.4761	1.4218
-0.20313	1.5997	2.4289	2.1657
-0.19922	1.9306	2.9506	2.5333
-0.19531	2.0381	2.9842	2.4856
-0.19141	1.8961	2.5503	2.0502
-0.1875	1.5519	1.7402	1.3136
-0.18359	1.1294	0.70012	0.40929
-0.17969	0.87992	0.41345	0.54261
-0.17578	1.0286	1.3947	1.3497
-0.17187	1.3468	2.1169	1.9152
-0.16797	1.5792	2.475	2.1572
-0.16406	1.6297	2.4282	2.0498
-0.16016	1.4868	2.0008	1.6225
-0.15625	1.1981	1.2756	0.95431
-0.15234	0.88188	0.38356	0.16644
-0.14844	0.75826	0.55708	0.64318
-0.14453	0.9314	1.3558	1.3108
-0.14062	1.184	1.9143	1.7514
-0.13672	1.3441	2.1502	1.9015
-0.13281	1.3498	2.0368	1.7456
-0.12891	1.202	1.6036	1.3168
-0.125	0.9528	0.93038	0.69037
-0.12109	0.72255	0.15475	0.048795
-0.11719	0.69604	0.68127	0.73021
-0.11328	0.87675	1.3456	1.2952
-0.10938	1.0761	1.7791	1.6415
-0.10547	1.1787	1.9169	1.7186
-0.10156	1.1471	1.7445	1.5201
-0.097656	0.99353	1.2974	1.0831
-0.09375	0.77832	0.65579	0.48167
-0.089844	0.62782	0.13157	0.18743
-0.085937	0.6763	0.79783	0.81262
-0.082031	0.8523	1.3579	1.2983
-0.078125	1.0053	1.6901	1.5686
-0.074219	1.0592	1.744	1.5838
-0.070313	0.99508	1.5161	1.3452
-0.066406	0.837	1.0484	0.89428
-0.0625	0.65771	0.42532	0.3058
-0.058594	0.58673	0.29404	0.32504
-0.054687	0.68901	0.91463	0.89639
-0.050781	0.85153	1.3901	1.318
-0.046875	0.96221	1.6357	1.5239
-0.042969	0.9725	1.6137	1.4832
-0.039063	0.87922	1.3305	1.2044
-0.035156	0.72015	0.8357	0.73398
-0.03125	0.58519	0.22701	0.14863
-0.027344	0.5923	0.46739	0.45722
-0.023438	0.72829	1.038	0.98633
-0.019531	0.8714	1.4419	1.3543
-0.015625	0.94177	1.6099	1.5026
-0.011719	0.91122	1.5152	1.4083
-0.0078125	0.79154	1.1743	1.0872
-0.0039062	0.63832	0.64547	0.5911
0	0.56074	0.10673	3.2974e-14
0.0039062	0.63832	0.64547	0.5911
0.0078125	0.79154	1.1743	1.0872
0.011719	0.91122	1.5152	1.4083
0.015625	0.94177	1.6099	1.5026
0.019531	0.8714	1.4419	1.3543
0.023438	0.72829	1.038	0.98633
0.027344	0.5923	0.46739	0.45722
0.03125	0.58519	0.22701	0.14863
0.035156	0.72015	0.8357	0.73398
0.039063	0.87922	1.3305	1.2044
0.042969	0.9725	1.6137	1.4832
0.046875	0.96221	1.6357	1.5239
0.050781	0.85153	1.3901	1.318
0.054687	0.68901	0.91463	0.89639
0.058594	0.58673	0.29404	0.32504
0.0625	0.65771	0.42532	0.3058
0.066406	0.837	1.0484	0.89428
0.070313	0.99508	1.5161	1.3452
0.074219	1.0592	1.744	1.5838
0.078125	1.0053	1.6901	1.5686
0.082031	0.8523	1.3579	1.2983
0.085937	0.6763	0.79783	0.81262
0.089844	0.62782	0.13157	0.18743
0.09375	0.77832	0.65579	0.48167
0.097656	0.99353	1.2974	1.0831
0.10156	1.1471	1.7445	1.5201
0.10547	1.1787	1.9169	1.7186
0.10938	1.0761	1.7791	1.6415
0.11328	0.87675	1.3456	1.2952
0.11719	0.69604	0.68127	0.73021
0.12109	0.72255	0.15475	0.048795
0.125	0.9528	0.93038	0.69037
0.12891	1.202	1.6036	1.3168
0.13281	1.3498	2.0368	1.7456
0.13672	1.3441	2.1502	1.9015
0.14062	1.184	1.9143	1.7514
0.14453	0.9314	1.3558	1.3108
