x	L=41	L=21	L=11
0.27344	-63.6113	-56.5395	-12.626
0.27539	-62.0358	-59.0727	-12.8341
0.27734	-60.8658	-62.5622	-13.0448
0.2793	-59.9969	-68.2432	-13.258
0.28125	-59.3682	-87.494	-13.4739
0.2832	-58.9422	-70.7952	-13.6924
0.28516	-58.6957	-64.3833	-13.9136
0.28711	-58.6151	-60.8959	-14.1376
0.28906	-58.6937	-58.5455	-14.3643
0.29102	-58.931	-56.8106	-14.594
0.29297	-59.3327	-55.466	-14.8265
0.29492	-59.9112	-54.3939	-15.062
0.29688	-60.688	-53.5248	-15.3005
0.29883	-61.6979	-52.8144	-15.542
0.30078	-62.9975	-52.2328	-15.7867
0.30273	-64.683	-51.7591	-16.0346
0.30469	-66.9329	-51.3778	-16.2858
0.30664	-70.1346	-51.0777	-16.5403
0.30859	-75.4188	-50.8501	-16.7982
0.31055	-91.3776	-50.6884	-17.0595
0.3125	-78.8975	-50.5877	-17.3245
0.31445	-72.0531	-50.5441	-17.593
0.31641	-68.4254	-50.5548	-17.8653
0.31836	-66.0268	-50.6178	-18.1414
0.32031	-64.3021	-50.7319	-18.4214
0.32227	-63.0167	-50.8964	-18.7054
0.32422	-62.0502	-51.1114	-18.9935
0.32617	-61.3336	-51.3776	-19.2858
0.32813	-60.8247	-51.6961	-19.5824
0.33008	-60.4973	-52.0692	-19.8835
0.33203	-60.335	-52.4998	-20.1892
0.33398	-60.3292	-52.9917	-20.4995
0.33594	-60.4771	-53.5501	-20.8148
0.33789	-60.7814	-54.1819	-21.135
0.33984	-61.251	-54.8959	-21.4604
0.3418	-61.902	-55.7041	-21.7911
0.34375	-62.7611	-56.6223	-22.1272
0.3457	-63.8705	-57.6728	-22.4691
0.34766	-65.2998	-58.8873	-22.8169
0.34961	-67.1703	-60.3129	-23.1708
0.35156	-69.7193	-62.0249	-23.531
0.35352	-73.5105	-64.1529	-23.8978
0.35547	-80.5838	-66.9507	-24.2714
0.35742	-92.3572	-71.033	-24.6522
0.35938	-77.0961	-78.7542	-25.0404
0.36133	-71.9956	-86.7405	-25.4363
0.36328	-68.9444	-73.8581	-25.8403
0.36523	-66.8342	-69.0139	-26.2528
0.36719	-65.2826	-66.0263	-26.6742
0.36914	-64.1128	-63.8969	-27.105
0.37109	-63.2288	-62.2684	-27.5455
0.37305	-62.5742	-60.9715	-27.9964
0.375	-62.1137	-59.9125	-28.4583
0.37695	-61.8254	-59.0343	-28.9317
0.37891	-61.6957	-58.2993	-29.4175
0.38086	-61.7181	-57.6818	-29.9163
0.38281	-61.8912	-57.1632	-30.4291
0.38477	-62.2192	-56.73	-30.9568
0.38672	-62.7123	-56.3718	-31.5005
0.38867	-63.3883	-56.0809	-32.0614
0.39063	-64.2757	-55.8512	-32.641
0.39258	-65.42	-55.6778	-33.2408
0.39453	-66.8963	-55.5572	-33.8626
0.39648	-68.8371	-55.4864	-34.5085
0.39844	-71.5066	-55.4635	-35.181
0.40039	-75.5588	-55.4869	-35.8828
0.40234	-83.6234	-55.5557	-36.6173
0.4043	-89.1274	-55.6694	-37.3886
0.40625	-77.4509	-55.828	-38.2015
0.4082	-72.77	-56.032	-39.0618
0.41016	-69.8783	-56.2826	-39.9769
0.41211	-67.8496	-56.5811	-40.9562
0.41406	-66.3457	-56.9299	-42.0114
0.41602	-65.2054	-57.3319	-43.1585
0.41797	-64.3403	-57.7908	-44.4187
0.41992	-63.6974	-58.3116	-45.8222
0.42188	-63.2438	-58.9006	-47.4134
0.42383	-62.9585	-59.5659	-49.2616
0.42578	-62.829	-60.3184	-51.4838
0.42773	-62.8491	-61.1723	-54.3034
0.42969	-63.0179	-62.147	-58.2354
0.43164	-63.3396	-63.27	-65.031
0.43359	-63.8245	-64.5812	-83.2383
0.43555	-64.4902	-66.1425	-63.5667
0.4375	-65.3647	-68.0565	-58.2474
0.43945	-66.493	-70.5127	-55.1356
0.44141	-67.9485	-73.9254	-52.9734
0.44336	-69.8605	-79.5404	-51.344
0.44531	-72.4852	-99.0821	-50.0568
0.44727	-76.4484	-81.8013	-49.0087
0.44922	-84.186	-75.3247	-48.1376
0.45117	-91.3027	-71.7478	-47.4032
0.45312	-78.792	-69.3004	-46.7777
0.45508	-73.9842	-67.4642	-46.2413
0.45703	-71.0344	-66.0149	-45.7795
0.45898	-68.9684	-64.8351	-45.3812
0.46094	-67.4358	-63.8555	-45.0376
0.46289	-66.271	-63.032	-44.7421
0.46484	-65.3834	-62.3346	-44.4891
0.4668	-64.7191	-61.7423	-44.2741
0.46875	-64.2442	-61.2395	-44.0935
0.4707	-63.9374	-60.8149	-43.9443
0.47266	-63.7857	-60.4595	-43.8238
0.47461	-63.7823	-60.1666	-43.7301
0.47656	-63.9259	-59.9309	-43.6611
