x	Theoretical mean periodogram	Theoretical PSD	Periodogram	Periodogram
-0.03125	0.038429	0.038429	0.02785	0.02785
-0.023438	0.021647	0.021647	0.016903	0.016903
-0.015625	0.0096305	0.0096305	0.014961	0.014961
-0.0078125	0.0024091	0.0024091	0.01337	0.01337
0	3.5444e-29	0	0.0089372	0.0089372
0.0078125	0.0024091	0.0024091	0.01337	0.01337
0.015625	0.0096305	0.0096305	0.014961	0.014961
0.023438	0.021647	0.021647	0.016903	0.016903
0.03125	0.038429	0.038429	0.02785	0.02785
0.039063	0.059937	0.059937	0.029195	0.029195
0.046875	0.086119	0.086119	0.10027	0.10027
0.054688	0.11691	0.11691	0.038447	0.038447
0.0625	0.15224	0.15224	0.24853	0.24853
0.070313	0.19202	0.19202	0.25158	0.25158
0.078125	0.23616	0.23616	0.20614	0.20614
0.085937	0.28454	0.28454	0.62669	0.62669
0.09375	0.33706	0.33706	0.82143	0.82143
0.10156	0.39358	0.39358	0.70886	0.70886
0.10938	0.45398	0.45398	0.26292	0.26292
0.11719	0.5181	0.5181	0.24708	0.24708
0.125	0.58579	0.58579	0.53075	0.53075
0.13281	0.65688	0.65688	0.67983	0.67983
0.14063	0.73121	0.73121	0.50393	0.50393
0.14844	0.8086	0.8086	0.78936	0.78936
0.15625	0.88886	0.88886	0.46863	0.46863
0.16406	0.97179	0.97179	1.0916	1.0916
0.17187	1.0572	1.0572	0.48145	0.48145
0.17969	1.1449	1.1449	1.2408	1.2408
0.1875	1.2346	1.2346	1.0329	1.0329
0.19531	1.3262	1.3262	1.8522	1.8522
0.20313	1.4194	1.4194	0.87132	0.87132
0.21094	1.514	1.514	0.51978	0.51978
0.21875	1.6098	1.6098	2.4362	2.4362
0.22656	1.7065	1.7065	1.9261	1.9261
0.23438	1.804	1.804	2.028	2.028
0.24219	1.9019	1.9019	1.8766	1.8766
0.25	2	2	0.51032	0.51032
0.25781	2.0981	2.0981	1.8124	1.8124
0.26563	2.196	2.196	3.0055	3.0055
0.27344	2.2935	2.2935	1.3583	1.3583
0.28125	2.3902	2.3902	0.80581	0.80581
0.28906	2.486	2.486	0.57937	0.57937
0.29688	2.5806	2.5806	0.5237	0.5237
0.30469	2.6738	2.6738	1.7767	1.7767
