x	beta=6	beta=3	beta=0
0	0.014873	0.20488	1
1	0.053482	0.30229	1
2	0.1194	0.40763	1
3	0.21529	0.51668	1
4	0.33902	0.62475	1
5	0.48296	0.72693	1
6	0.63449	0.81841	1
7	0.77761	0.89476	1
8	0.8954	0.95222	1
9	0.97294	0.9879	1
10	1	1	1
11	0.97294	0.9879	1
12	0.8954	0.95222	1
13	0.77761	0.89476	1
14	0.63449	0.81841	1
15	0.48296	0.72693	1
16	0.33902	0.62475	1
17	0.21529	0.51668	1
18	0.1194	0.40763	1
19	0.053482	0.30229	1
20	0.014873	0.20488	1
