x	L=128	L=128	L=128	beta=6	beta=0
-0.61328	0.01608	0.014041	0.015867	0.01064	0.25916
-0.60938	0.016272	0.019508	0.022405	0.016234	0.63017
-0.60547	0.01647	0.014595	0.016359	0.019228	1.4213
-0.60156	0.016675	0.019775	0.0046259	0.019037	2.0104
-0.59766	0.016886	0.01519	0.017045	0.015605	2.299
-0.59375	0.017105	0.020053	0.023704	0.0094378	2.2345
-0.58984	0.017331	0.015829	0.016904	0.0017974	1.8185
-0.58594	0.017565	0.020341	0.0045726	0.0071235	1.1078
-0.58203	0.017807	0.016518	0.018453	0.014539	0.21732
-0.57813	0.018058	0.02064	0.02518	0.019695	0.76235
-0.57422	0.018318	0.017262	0.01745	0.021594	1.6256
-0.57031	0.018587	0.02095	0.0046378	0.019786	2.2592
-0.56641	0.018867	0.018067	0.02015	0.014458	2.5561
-0.5625	0.019156	0.02127	0.026861	0.0064503	2.4597
-0.55859	0.019457	0.01894	0.017976	0.0033586	1.9739
-0.55469	0.01977	0.0216	0.0049432	0.01247	1.1636
-0.55078	0.020094	0.01989	0.022214	0.019852	0.16562
-0.54688	0.020432	0.021939	0.028782	0.023972	0.9375
-0.54297	0.020783	0.020926	0.01844	0.023928	1.8974
-0.53906	0.021149	0.022285	0.0056653	0.019527	2.5918
-0.53516	0.02153	0.02206	0.024748	0.011366	2.9012
-0.53125	0.021928	0.022637	0.03098	0.0014117	2.7634
-0.52734	0.022342	0.023305	0.018774	0.010762	2.1842
-0.52344	0.022775	0.022992	0.0070203	0.020617	1.239
-0.51953	0.023228	0.024678	0.027898	0.027132	0.10939
-0.51563	0.023701	0.023346	0.033487	0.028836	1.1807
-0.51172	0.024196	0.026196	0.018853	0.025077	2.2761
-0.50781	0.024715	0.023693	0.009264	0.0162	3.0575
-0.50391	0.02526	0.027882	0.031862	0.0037265	3.3873
-0.5	0.025831	0.024025	0.036319	0.010895	3.1934
-0.49609	0.026431	0.029764	0.01845	0.023974	2.4829
-0.49219	0.027063	0.024333	0.012752	0.03319	1.3448
-0.48828	0.027728	0.031874	0.036919	0.036237	0.12262
-0.48438	0.02843	0.0246	0.039427	0.031841	1.5412
-0.48047	0.029171	0.034251	0.017135	0.020134	2.84
-0.47656	0.029954	0.024809	0.018067	0.0031718	3.7559
-0.47266	0.030783	0.036945	0.043442	0.017253	4.1218
-0.46875	0.031662	0.024931	0.042575	0.035329	3.848
-0.46484	0.032595	0.040013	0.014043	0.047133	2.9398
-0.46094	0.033588	0.024932	0.026232	0.048667	1.503
-0.45703	0.034647	0.043525	0.051865	0.03762	0.29899
-0.45313	0.035777	0.024772	0.044962	0.014481	2.1314
-0.44922	0.036987	0.047565	0.007387	0.017656	3.7704
-0.44531	0.038284	0.024411	0.039073	0.049592	4.9223
-0.44141	0.03968	0.052221	0.062297	0.070211	5.3654
-0.4375	0.041186	0.023854	0.043925	0.06423	4.9714
-0.43359	0.042817	0.057576	0.0082657	0.015367	3.7314
-0.42969	0.04459	0.023283	0.059535	0.098068	1.7674
-0.42578	0.046529	0.063647	0.071926	0.28684	0.70079
-0.42188	0.048663	0.023469	0.029597	0.56414	3.2831
-0.41797	0.051035	0.070229	0.04265	0.93415	5.6215
-0.41406	0.053707	0.026725	0.086423	1.3921	7.3068
-0.41016	0.056776	0.076368	0.053255	1.923	7.989
-0.40625	0.060408	0.037636	0.045565	2.5004	7.4226
-0.40234	0.064903	0.078548	0.086248	3.0878	5.5082
-0.39844	0.07085	0.062089	0.15086	3.6397	2.3203
-0.39453	0.079468	0.064525	0.9215	4.1044	1.918
-0.39063	0.093415	0.09921	2.4228	4.4283	6.7584
-0.38672	0.11861	0.10209	4.6749	4.5601	11.7068
-0.38281	0.16785	0.27556	7.4687	4.456	16.1746
-0.37891	0.25889	4.2824	10.3976	4.0856	19.5842
-0.375	0.16452	13.9129	12.9824	3.4394	21.4339
-0.37109	24.7116	25.6079	14.8486	2.5465	21.3628
-0.36719	63.1099	31.748	15.8855	1.5653	19.2002
-0.36328	37.3772	27.9197	16.3209	1.3383	14.9988
-0.35938	2.5096	17.1967	16.6729	2.5323	9.0617
-0.35547	0.21894	6.4394	17.5788	4.1927	2.4497
-0.35156	0.25296	0.64934	19.517	5.9593	6.8378
-0.34766	0.19157	2.9074	22.528	7.6932	14.7581
-0.34375	0.30601	16.4408	26.1236	9.2935	22.0819
-0.33984	12.2583	39.0154	29.4373	10.6752	28.073
-0.33594	93.5882	59.0394	31.5067	11.7696	32.2006
-0.33203	118.3708	62.5685	31.5805	12.5262	34.134
-0.32813	32.6518	46.795	29.3612	12.9161	33.7675
-0.32422	0.78249	23.258	25.1022	12.9326	31.2258
-0.32031	0.33642	6.168	19.5287	12.591	26.8439
-0.31641	0.11404	0.0194	13.6108	11.927	21.1249
-0.3125	0.031729	0.13939	8.278	10.9928	14.6789
-0.30859	0.029889	0.21327	4.1748	9.8525	8.152
-0.30469	0.043943	0.080779	1.5377	8.5773	2.1542
-0.30078	0.051473	0.10999	0.21826	7.2397	2.8058
-0.29688	0.054749	0.10483	0.1817	5.9085	6.3717
-0.29297	0.055669	0.054711	0.11699	4.644	8.3692
-0.28906	0.055298	0.099062	0.049943	3.495	8.8133
-0.28516	0.054228	0.025937	0.12163	2.4964	7.8927
-0.28125	0.052791	0.088236	0.075518	1.6685	5.9335
-0.27734	0.05118	0.012217	0.020944	1.0172	3.3495
-0.27344	0.049506	0.077647	0.085142	0.53574	0.58473
-0.26953	0.047834	0.010519	0.078689	0.20748	1.9488
-0.26562	0.046202	0.068389	0.018645	0.0093477	3.9093
-0.26172	0.044631	0.013745	0.046825	0.089694	5.0756
-0.25781	0.043131	0.060528	0.073183	0.11509	5.3578
-0.25391	0.041707	0.016696	0.048962	0.095036	4.7998
-0.25	0.040359	0.053884	0.0078146	0.052702	3.5612
-0.24609	0.039087	0.018779	0.050275	0.0066223	1.8861
-0.24219	0.037887	0.048247	0.05964	0.032873	0.081639
-0.23828	0.036756	0.020166	0.031464	0.056768	1.6316
-0.23438	0.035689	0.04343	0.016881	0.06408	2.9424
-0.23047	0.034684	0.021059	0.048082	0.056618	3.705
-0.22656	0.033737	0.03928	0.048856	0.038651	3.843
-0.22266	0.032843	0.021607	0.021109	0.015589	3.3785
-0.21875	0.031999	0.035675	0.021492	0.00773	2.4226
-0.21484	0.031201	0.021915	0.044559	0.02607	1.1533
-0.21094	0.030448	0.032517	0.040641	0.037279	0.22989
-0.20703	0.029735	0.022058	0.015121	0.04018	1.4761
-0.20313	0.02906	0.02973	0.02364	0.035345	2.4289
-0.19922	0.028421	0.022086	0.040958	0.024637	2.9506
-0.19531	0.027815	0.027253	0.03436	0.010719	2.9842
-0.19141	0.02724	0.022034	0.012025	0.0039279	2.5503
-0.1875	0.026695	0.025036	0.02454	0.015943	1.7402
-0.18359	0.026177	0.021929	0.037647	0.024054	0.70012
-0.17969	0.025684	0.02304	0.02949	0.027161	0.41345
-0.17578	0.025217	0.021787	0.01084	0.025254	1.3947
-0.17187	0.024772	0.021232	0.024796	0.019182	2.1169
-0.16797	0.024348	0.021623	0.034707	0.010417	2.475
-0.16406	0.023946	0.019584	0.025657	0.0011274	2.4282
-0.16016	0.023562	0.021445	0.010759	0.008332	2.0008
-0.15625	0.023197	0.018076	0.024722	0.015012	1.2756
-0.15234	0.022849	0.02126	0.032126	0.018568	0.38356
-0.14844	0.022517	0.016689	0.022601	0.018686	0.55708
-0.14453	0.022201	0.021074	0.011206	0.015666	1.3558
-0.14062	0.0219	0.015406	0.024485	0.010307	1.9143
-0.13672	0.021613	0.02089	0.029866	0.0037435	2.1502
-0.13281	0.02134	0.014216	0.020139	0.0030141	2.0368
-0.12891	0.02108	0.020711	0.011864	0.0085134	1.6036
-0.125	0.020832	0.013106	0.024178	0.012153	0.93038
-0.12109	0.020595	0.020539	0.027882	0.013467	0.15475
-0.11719	0.02037	0.012069	0.018145	0.012448	0.68127
-0.11328	0.020156	0.020375	0.012592	0.009477	1.3456
-0.10938	0.019953	0.011095	0.023854	0.0052287	1.7791
-0.10547	0.019759	0.02022	0.026131	0.00066907	1.9169
-0.10156	0.019575	0.010178	0.016528	0.0038977	1.7445
-0.097656	0.019401	0.020075	0.013334	0.0072002	1.2974
-0.09375	0.019235	0.0093118	0.023544	0.0090192	0.65579
-0.089844	0.019079	0.019941	0.024577	0.009191	0.13157
-0.085937	0.01893	0.0084928	0.015224	0.0078477	0.79783
-0.082031	0.01879	0.019817	0.014075	0.0053632	1.3579
-0.078125	0.018658	0.0077168	0.023266	0.0022716	1.6901
-0.074219	0.018534	0.019705	0.02319	0.0009271	1.744
-0.070313	0.018417	0.0069814	0.014189	0.0035442	1.5161
-0.066406	0.018307	0.019603	0.014815	0.0053129	1.0484
-0.0625	0.018205	0.0062854	0.023031	0.0060098	0.42532
-0.058594	0.018109	0.019513	0.021943	0.0056407	0.29404
-0.054687	0.01802	0.0056288	0.01339	0.0043955	0.91463
-0.050781	0.017938	0.019434	0.015562	0.002594	1.3901
-0.046875	0.017863	0.0050142	0.022843	0.00062068	1.6357
-0.042969	0.017794	0.019367	0.020813	0.0011884	1.6137
-0.039063	0.017731	0.0044468	0.012806	0.0025125	1.3305
-0.035156	0.017675	0.019311	0.016325	0.0032089	0.8357
-0.03125	0.017625	0.0039359	0.022708	0.003253	0.22701
-0.027344	0.01758	0.019266	0.019782	0.0027459	0.46739
-0.023438	0.017542	0.0034967	0.012423	0.001877	1.038
-0.019531	0.01751	0.019232	0.017116	0.00087394	1.4419
-0.015625	0.017484	0.0031512	0.022626	0.00013517	1.6099
-0.011719	0.017463	0.01921	0.018832	0.00080232	1.5152
-0.0078125	0.017449	0.0029268	0.012234	0.0012567	1.1743
-0.0039062	0.01744	0.019198	0.017948	0.0014798	0.64547
0	0.017437	0.0028485	0.022599	0.0015418	0.10673
0.0039062	0.01744	0.019198	0.017948	0.0014798	0.64547
0.0078125	0.017449	0.0029268	0.012234	0.0012567	1.1743
0.011719	0.017463	0.01921	0.018832	0.00080232	1.5152
0.015625	0.017484	0.0031512	0.022626	0.00013517	1.6099
0.019531	0.01751	0.019232	0.017116	0.00087394	1.4419
0.023438	0.017542	0.0034967	0.012423	0.001877	1.038
0.027344	0.01758	0.019266	0.019782	0.0027459	0.46739
0.03125	0.017625	0.0039359	0.022708	0.003253	0.22701
0.035156	0.017675	0.019311	0.016325	0.0032089	0.8357
0.039063	0.017731	0.0044468	0.012806	0.0025125	1.3305
0.042969	0.017794	0.019367	0.020813	0.0011884	1.6137
0.046875	0.017863	0.0050142	0.022843	0.00062068	1.6357
0.050781	0.017938	0.019434	0.015562	0.002594	1.3901
0.054687	0.01802	0.0056288	0.01339	0.0043955	0.91463
0.058594	0.018109	0.019513	0.021943	0.0056407	0.29404
0.0625	0.018205	0.0062854	0.023031	0.0060098	0.42532
0.066406	0.018307	0.019603	0.014815	0.0053129	1.0484
0.070313	0.018417	0.0069814	0.014189	0.0035442	1.5161
0.074219	0.018534	0.019705	0.02319	0.0009271	1.744
0.078125	0.018658	0.0077168	0.023266	0.0022716	1.6901
0.082031	0.01879	0.019817	0.014075	0.0053632	1.3579
0.085937	0.01893	0.0084928	0.015224	0.0078477	0.79783
0.089844	0.019079	0.019941	0.024577	0.009191	0.13157
0.09375	0.019235	0.0093118	0.023544	0.0090192	0.65579
0.097656	0.019401	0.020075	0.013334	0.0072002	1.2974
0.10156	0.019575	0.010178	0.016528	0.0038977	1.7445
0.10547	0.019759	0.02022	0.026131	0.00066907	1.9169
0.10938	0.019953	0.011095	0.023854	0.0052287	1.7791
0.11328	0.020156	0.020375	0.012592	0.009477	1.3456
0.11719	0.02037	0.012069	0.018145	0.012448	0.68127
0.12109	0.020595	0.020539	0.027882	0.013467	0.15475
0.125	0.020832	0.013106	0.024178	0.012153	0.93038
0.12891	0.02108	0.020711	0.011864	0.0085134	1.6036
0.13281	0.02134	0.014216	0.020139	0.0030141	2.0368
0.13672	0.021613	0.02089	0.029866	0.0037435	2.1502
0.14062	0.0219	0.015406	0.024485	0.010307	1.9143
0.14453	0.022201	0.021074	0.011206	0.015666	1.3558
0.14844	0.022517	0.016689	0.022601	0.018686	0.55708
0.15234	0.022849	0.02126	0.032126	0.018568	0.38356
0.15625	0.023197	0.018076	0.024722	0.015012	1.2756
0.16016	0.023562	0.021445	0.010759	0.008332	2.0008
0.16406	0.023946	0.019584	0.025657	0.0011274	2.4282
0.16797	0.024348	0.021623	0.034707	0.010417	2.475
0.17187	0.024772	0.021232	0.024796	0.019182	2.1169
0.17578	0.025217	0.021787	0.01084	0.025254	1.3947
0.17969	0.025684	0.02304	0.02949	0.027161	0.41345
0.18359	0.026177	0.021929	0.037647	0.024054	0.70012
0.1875	0.026695	0.025036	0.02454	0.015943	1.7402
0.19141	0.02724	0.022034	0.012025	0.0039279	2.5503
0.19531	0.027815	0.027253	0.03436	0.010719	2.9842
0.19922	0.028421	0.022086	0.040958	0.024637	2.9506
0.20313	0.02906	0.02973	0.02364	0.035345	2.4289
0.20703	0.029735	0.022058	0.015121	0.04018	1.4761
0.21094	0.030448	0.032517	0.040641	0.037279	0.22989
0.21484	0.031201	0.021915	0.044559	0.02607	1.1533
0.21875	0.031999	0.035675	0.021492	0.00773	2.4226
0.22266	0.032843	0.021607	0.021109	0.015589	3.3785
0.22656	0.033737	0.03928	0.048856	0.038651	3.843
0.23047	0.034684	0.021059	0.048082	0.056618	3.705
0.23438	0.035689	0.04343	0.016881	0.06408	2.9424
0.23828	0.036756	0.020166	0.031464	0.056768	1.6316
0.24219	0.037887	0.048247	0.05964	0.032873	0.081639
0.24609	0.039087	0.018779	0.050275	0.0066223	1.8861
0.25	0.040359	0.053884	0.0078146	0.052702	3.5612
0.25391	0.041707	0.016696	0.048962	0.095036	4.7998
0.25781	0.043131	0.060528	0.073183	0.11509	5.3578
0.26172	0.044631	0.013745	0.046825	0.089694	5.0756
0.26562	0.046202	0.068389	0.018645	0.0093477	3.9093
0.26953	0.047834	0.010519	0.078689	0.20748	1.9488
0.27344	0.049506	0.077647	0.085142	0.53574	0.58473
0.27734	0.05118	0.012217	0.020944	1.0172	3.3495
0.28125	0.052791	0.088236	0.075518	1.6685	5.9335
0.28516	0.054228	0.025937	0.12163	2.4964	7.8927
0.28906	0.055298	0.099062	0.049943	3.495	8.8133
0.29297	0.055669	0.054711	0.11699	4.644	8.3692
0.29688	0.054749	0.10483	0.1817	5.9085	6.3717
0.30078	0.051473	0.10999	0.21826	7.2397	2.8058
0.30469	0.043943	0.080779	1.5377	8.5773	2.1542
0.30859	0.029889	0.21327	4.1748	9.8525	8.152
0.3125	0.031729	0.13939	8.278	10.9928	14.6789
0.31641	0.11404	0.0194	13.6108	11.927	21.1249
0.32031	0.33642	6.168	19.5287	12.591	26.8439
0.32422	0.78249	23.258	25.1022	12.9326	31.2258
0.32813	32.6518	46.795	29.3612	12.9161	33.7675
0.33203	118.3708	62.5685	31.5805	12.5262	34.134
0.33594	93.5882	59.0394	31.5067	11.7696	32.2006
0.33984	12.2583	39.0154	29.4373	10.6752	28.073
0.34375	0.30601	16.4408	26.1236	9.2935	22.0819
0.34766	0.19157	2.9074	22.528	7.6932	14.7581
0.35156	0.25296	0.64934	19.517	5.9593	6.8378
0.35547	0.21894	6.4394	17.5788	4.1927	2.4497
0.35938	2.5096	17.1967	16.6729	2.5323	9.0617
0.36328	37.3772	27.9197	16.3209	1.3383	14.9988
0.36719	63.1099	31.748	15.8855	1.5653	19.2002
0.37109	24.7116	25.6079	14.8486	2.5465	21.3628
0.375	0.16452	13.9129	12.9824	3.4394	21.4339
0.37891	0.25889	4.2824	10.3976	4.0856	19.5842
0.38281	0.16785	0.27556	7.4687	4.456	16.1746
0.38672	0.11861	0.10209	4.6749	4.5601	11.7068
0.39063	0.093415	0.09921	2.4228	4.4283	6.7584
0.39453	0.079468	0.064525	0.9215	4.1044	1.918
0.39844	0.07085	0.062089	0.15086	3.6397	2.3203
0.40234	0.064903	0.078548	0.086248	3.0878	5.5082
0.40625	0.060408	0.037636	0.045565	2.5004	7.4226
0.41016	0.056776	0.076368	0.053255	1.923	7.989
0.41406	0.053707	0.026725	0.086423	1.3921	7.3068
0.41797	0.051035	0.070229	0.04265	0.93415	5.6215
0.42188	0.048663	0.023469	0.029597	0.56414	3.2831
0.42578	0.046529	0.063647	0.071926	0.28684	0.70079
0.42969	0.04459	0.023283	0.059535	0.098068	1.7674
0.43359	0.042817	0.057576	0.0082657	0.015367	3.7314
0.4375	0.041186	0.023854	0.043925	0.06423	4.9714
0.44141	0.03968	0.052221	0.062297	0.070211	5.3654
0.44531	0.038284	0.024411	0.039073	0.049592	4.9223
0.44922	0.036987	0.047565	0.007387	0.017656	3.7704
0.45313	0.035777	0.024772	0.044962	0.014481	2.1314
0.45703	0.034647	0.043525	0.051865	0.03762	0.29899
0.46094	0.033588	0.024932	0.026232	0.048667	1.503
0.46484	0.032595	0.040013	0.014043	0.047133	2.9398
0.46875	0.031662	0.024931	0.042575	0.035329	3.848
0.47266	0.030783	0.036945	0.043442	0.017253	4.1218
0.47656	0.029954	0.024809	0.018067	0.0031718	3.7559
0.48047	0.029171	0.034251	0.017135	0.020134	2.84
0.48438	0.02843	0.0246	0.039427	0.031841	1.5412
0.48828	0.027728	0.031874	0.036919	0.036237	0.12262
0.49219	0.027063	0.024333	0.012752	0.03319	1.3448
0.49609	0.026431	0.029764	0.01845	0.023974	2.4829
0.5	0.025831	0.024025	0.036319	0.010895	3.1934
0.50391	0.02526	0.027882	0.031862	0.0037265	3.3873
0.50781	0.024715	0.023693	0.009264	0.0162	3.0575
0.51172	0.024196	0.026196	0.018853	0.025077	2.2761
0.51563	0.023701	0.023346	0.033487	0.028836	1.1807
0.51953	0.023228	0.024678	0.027898	0.027132	0.10939
0.52344	0.022775	0.022992	0.0070203	0.020617	1.239
0.52734	0.022342	0.023305	0.018774	0.010762	2.1842
0.53125	0.021928	0.022637	0.03098	0.0014117	2.7634
0.53516	0.02153	0.02206	0.024748	0.011366	2.9012
0.53906	0.021149	0.022285	0.0056653	0.019527	2.5918
0.54297	0.020783	0.020926	0.01844	0.023928	1.8974
0.54688	0.020432	0.021939	0.028782	0.023972	0.9375
0.55078	0.020094	0.01989	0.022214	0.019852	0.16562
0.55469	0.01977	0.0216	0.0049432	0.01247	1.1636
0.55859	0.019457	0.01894	0.017976	0.0033586	1.9739
0.5625	0.019156	0.02127	0.026861	0.0064503	2.4597
0.56641	0.018867	0.018067	0.02015	0.014458	2.5561
0.57031	0.018587	0.02095	0.0046378	0.019786	2.2592
0.57422	0.018318	0.017262	0.01745	0.021594	1.6256
0.57813	0.018058	0.02064	0.02518	0.019695	0.76235
0.58203	0.017807	0.016518	0.018453	0.014539	0.21732
0.58594	0.017565	0.020341	0.0045726	0.0071235	1.1078
0.58984	0.017331	0.015829	0.016904	0.0017974	1.8185
0.59375	0.017105	0.020053	0.023704	0.0094378	2.2345
0.59766	0.016886	0.01519	0.017045	0.015605	2.299
0.60156	0.016675	0.019775	0.0046259	0.019037	2.0104
0.60547	0.01647	0.014595	0.016359	0.019228	1.4213
0.60938	0.016272	0.019508	0.022405	0.016234	0.63017
0.61328	0.01608	0.014041	0.015867	0.01064	0.25916
0.61719	0.015894	0.01925	0.0047271	0.0035188	1.0654
0.62109	0.015714	0.013524	0.01583	0.0044104	1.6999
0.625	0.015539	0.019003	0.021258	0.01109	2.0618
0.62891	0.01537	0.01304	0.014876	0.015878	2.101
0.63281	0.015206	0.018766	0.0048399	0.01798	1.8178
0.63672	0.015046	0.012587	0.015323	0.017105	1.2623
0.64063	0.014892	0.018539	0.020241	0.013461	0.52677
0.64453	0.014742	0.012162	0.014036	0.0077152	0.29343
0.64844	0.014596	0.01832	0.0049472	0.0012605	1.033
0.65234	0.014454	0.011764	0.014842	0.0062676	1.6074
0.65625	0.014317	0.01811	0.019337	0.012013	1.9261
0.66016	0.014183	0.011389	0.013323	0.015746	1.9445
0.66406	0.014054	0.017909	0.0050422	0.016876	1.6649
0.66797	0.013928	0.011036	0.014389	0.015263	1.1353
0.67188	0.013805	0.017716	0.01853	0.011219	0.44352
0.67578	0.013686	0.010704	0.012714	0.0054655	0.32238
0.67969	0.01357	0.017531	0.0051229	0.001558	1.0083
0.68359	0.013457	0.01039	0.013963	0.0075588	1.5342
0.6875	0.013347	0.017354	0.01781	0.012524	1.8177
0.69141	0.013241	0.010094	0.012193	0.015427	1.8186
0.69531	0.013137	0.017184	0.0051895	0.015819	1.541
0.69922	0.013036	0.0098149	0.013564	0.013674	1.0316
0.70313	0.012938	0.017021	0.017165	0.0093767	0.37487
0.70703	0.012842	0.0095508	0.011746	0.0036992	0.34767
0.71094	0.012749	0.016865	0.0052435	0.0028449	0.98981
0.71484	0.012658	0.0093011	0.013192	0.0084831	1.4759
0.71875	0.01257	0.016715	0.016586	0.012795	1.73
0.72266	0.012484	0.0090649	0.011362	0.015028	1.7159
0.72656	0.0124	0.016572	0.0052865	0.014843	1.439
0.73047	0.012318	0.0088412	0.012844	0.012299	0.94542
0.73438	0.012239	0.016435	0.016066	0.0078379	0.31708
0.73828	0.012162	0.0086294	0.011032	0.002302	0.37052
0.74219	0.012086	0.016304	0.0053201	0.0039521	0.97656
0.74609	0.012013	0.0084289	0.01252	0.0091676	1.4295
0.75	0.011942	0.016178	0.0156	0.012926	1.6588
0.75391	0.011872	0.0082389	0.01075	0.014605	1.6314
